
Begin Step 0, Time: 0.00909085, Redshift: 109.001, Systemstep: 0, Dloga: 0
Begin Step 103, Time: 0.0394949, Redshift: 24.3197, Systemstep: 0.000180879, Dloga: 0.00459032

Begin Step 104, Time: 0.0396766, Redshift: 24.2038, Systemstep: 0.000181711, Dloga: 0.00459032

Begin Step 105, Time: 0.0398591, Redshift: 24.0884, Systemstep: 0.000182547, Dloga: 0.00459032

Begin Step 106, Time: 0.0400425, Redshift: 23.9735, Systemstep: 0.000183387, Dloga: 0.00459032

Begin Step 107, Time: 0.0402267, Redshift: 23.8591, Systemstep: 0.00018423, Dloga: 0.00459032

Begin Step 108, Time: 0.0404118, Redshift: 23.7452, Systemstep: 0.000185078, Dloga: 0.00459032

Begin Step 109, Time: 0.0405977, Redshift: 23.6319, Systemstep: 0.00018593, Dloga: 0.00459032

Begin Step 110, Time: 0.0407845, Redshift: 23.5191, Systemstep: 0.000186785, Dloga: 0.00459032

Begin Step 111, Time: 0.0409722, Redshift: 23.4068, Systemstep: 0.000187644, Dloga: 0.00459032

Begin Step 112, Time: 0.0411607, Redshift: 23.295, Systemstep: 0.000188508, Dloga: 0.00459032

Begin Step 113, Time: 0.0413501, Redshift: 23.1838, Systemstep: 0.000189375, Dloga: 0.00459032

Begin Step 114, Time: 0.0415403, Redshift: 23.073, Systemstep: 0.000190246, Dloga: 0.00459032

Begin Step 115, Time: 0.0417314, Redshift: 22.9628, Systemstep: 0.000191122, Dloga: 0.00459032

Begin Step 116, Time: 0.0419234, Redshift: 22.853, Systemstep: 0.000192001, Dloga: 0.00459032

Begin Step 117, Time: 0.0421163, Redshift: 22.7438, Systemstep: 0.000192884, Dloga: 0.00459032

Begin Step 118, Time: 0.0423101, Redshift: 22.635, Systemstep: 0.000193772, Dloga: 0.00459032

Begin Step 119, Time: 0.0425047, Redshift: 22.5268, Systemstep: 0.000194663, Dloga: 0.00459032

Begin Step 120, Time: 0.0427003, Redshift: 22.419, Systemstep: 0.000195559, Dloga: 0.00459032

Begin Step 121, Time: 0.0428968, Redshift: 22.3118, Systemstep: 0.000196459, Dloga: 0.00459032

Begin Step 122, Time: 0.0430941, Redshift: 22.205, Systemstep: 0.000197362, Dloga: 0.00459032

Begin Step 123, Time: 0.0432924, Redshift: 22.0987, Systemstep: 0.00019827, Dloga: 0.00459032

Begin Step 124, Time: 0.0434916, Redshift: 21.993, Systemstep: 0.000199183, Dloga: 0.00459032

Begin Step 125, Time: 0.0436917, Redshift: 21.8877, Systemstep: 0.000200099, Dloga: 0.00459032

Begin Step 126, Time: 0.0438927, Redshift: 21.7828, Systemstep: 0.00020102, Dloga: 0.00459032

Begin Step 127, Time: 0.0440946, Redshift: 21.6785, Systemstep: 0.000201945, Dloga: 0.00459032

Begin Step 128, Time: 0.0442975, Redshift: 21.5746, Systemstep: 0.000202874, Dloga: 0.00459032

Begin Step 129, Time: 0.0443993, Redshift: 21.5229, Systemstep: 0.000101787, Dloga: 0.00229516

Begin Step 130, Time: 0.0445013, Redshift: 21.4712, Systemstep: 0.000102021, Dloga: 0.00229516

Begin Step 131, Time: 0.0446036, Redshift: 21.4197, Systemstep: 0.000102255, Dloga: 0.00229516

Begin Step 132, Time: 0.0447061, Redshift: 21.3683, Systemstep: 0.00010249, Dloga: 0.00229516

Begin Step 133, Time: 0.0448088, Redshift: 21.317, Systemstep: 0.000102725, Dloga: 0.00229516

